label,text,example
numpy.fft.hfft,"Compute the FFT of a signal that has Hermitian symmetry, i.e., a real
spectrum.","<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">signal</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">,</span> <span class=""mi"">3</span><span class=""p"">,</span> <span class=""mi"">4</span><span class=""p"">,</span> <span class=""mi"">3</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">fft</span><span class=""o"">.</span><span class=""n"">fft</span><span class=""p"">(</span><span class=""n"">signal</span><span class=""p"">)</span>
<span class=""go"">array([15.+0.j,  -4.+0.j,   0.+0.j,  -1.-0.j,   0.+0.j,  -4.+0.j]) # may vary</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">fft</span><span class=""o"">.</span><span class=""n"">hfft</span><span class=""p"">(</span><span class=""n"">signal</span><span class=""p"">[:</span><span class=""mi"">4</span><span class=""p"">])</span> <span class=""c1""># Input first half of signal</span>
<span class=""go"">array([15.,  -4.,   0.,  -1.,   0.,  -4.])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">fft</span><span class=""o"">.</span><span class=""n"">hfft</span><span class=""p"">(</span><span class=""n"">signal</span><span class=""p"">,</span> <span class=""mi"">6</span><span class=""p"">)</span>  <span class=""c1""># Input entire signal and truncate</span>
<span class=""go"">array([15.,  -4.,   0.,  -1.,   0.,  -4.])</span>
</pre>"
numpy.fft.ihfft,Compute the inverse FFT of a signal that has Hermitian symmetry.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">spectrum</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">([</span> <span class=""mi"">15</span><span class=""p"">,</span> <span class=""o"">-</span><span class=""mi"">4</span><span class=""p"">,</span> <span class=""mi"">0</span><span class=""p"">,</span> <span class=""o"">-</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">0</span><span class=""p"">,</span> <span class=""o"">-</span><span class=""mi"">4</span><span class=""p"">])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">fft</span><span class=""o"">.</span><span class=""n"">ifft</span><span class=""p"">(</span><span class=""n"">spectrum</span><span class=""p"">)</span>
<span class=""go"">array([1.+0.j,  2.+0.j,  3.+0.j,  4.+0.j,  3.+0.j,  2.+0.j]) # may vary</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">fft</span><span class=""o"">.</span><span class=""n"">ihfft</span><span class=""p"">(</span><span class=""n"">spectrum</span><span class=""p"">)</span>
<span class=""go"">array([ 1.-0.j,  2.-0.j,  3.-0.j,  4.-0.j]) # may vary</span>
</pre>"
numpy.fft.fftfreq,Return the Discrete Fourier Transform sample frequencies.,"<pre><span></span><span class=""n"">f</span> <span class=""o"">=</span> <span class=""p"">[</span><span class=""mi"">0</span><span class=""p"">,</span> <span class=""mi"">1</span><span class=""p"">,</span> <span class=""o"">...</span><span class=""p"">,</span>   <span class=""n"">n</span><span class=""o"">/</span><span class=""mi"">2</span><span class=""o"">-</span><span class=""mi"">1</span><span class=""p"">,</span>     <span class=""o"">-</span><span class=""n"">n</span><span class=""o"">/</span><span class=""mi"">2</span><span class=""p"">,</span> <span class=""o"">...</span><span class=""p"">,</span> <span class=""o"">-</span><span class=""mi"">1</span><span class=""p"">]</span> <span class=""o"">/</span> <span class=""p"">(</span><span class=""n"">d</span><span class=""o"">*</span><span class=""n"">n</span><span class=""p"">)</span>   <span class=""k"">if</span> <span class=""n"">n</span> <span class=""ow"">is</span> <span class=""n"">even</span>
<span class=""n"">f</span> <span class=""o"">=</span> <span class=""p"">[</span><span class=""mi"">0</span><span class=""p"">,</span> <span class=""mi"">1</span><span class=""p"">,</span> <span class=""o"">...</span><span class=""p"">,</span> <span class=""p"">(</span><span class=""n"">n</span><span class=""o"">-</span><span class=""mi"">1</span><span class=""p"">)</span><span class=""o"">/</span><span class=""mi"">2</span><span class=""p"">,</span> <span class=""o"">-</span><span class=""p"">(</span><span class=""n"">n</span><span class=""o"">-</span><span class=""mi"">1</span><span class=""p"">)</span><span class=""o"">/</span><span class=""mi"">2</span><span class=""p"">,</span> <span class=""o"">...</span><span class=""p"">,</span> <span class=""o"">-</span><span class=""mi"">1</span><span class=""p"">]</span> <span class=""o"">/</span> <span class=""p"">(</span><span class=""n"">d</span><span class=""o"">*</span><span class=""n"">n</span><span class=""p"">)</span>   <span class=""k"">if</span> <span class=""n"">n</span> <span class=""ow"">is</span> <span class=""n"">odd</span>
</pre>"
numpy.fft.rfftfreq,"Return the Discrete Fourier Transform sample frequencies
(for usage with rfft, irfft).","<pre><span></span><span class=""n"">f</span> <span class=""o"">=</span> <span class=""p"">[</span><span class=""mi"">0</span><span class=""p"">,</span> <span class=""mi"">1</span><span class=""p"">,</span> <span class=""o"">...</span><span class=""p"">,</span>     <span class=""n"">n</span><span class=""o"">/</span><span class=""mi"">2</span><span class=""o"">-</span><span class=""mi"">1</span><span class=""p"">,</span>     <span class=""n"">n</span><span class=""o"">/</span><span class=""mi"">2</span><span class=""p"">]</span> <span class=""o"">/</span> <span class=""p"">(</span><span class=""n"">d</span><span class=""o"">*</span><span class=""n"">n</span><span class=""p"">)</span>   <span class=""k"">if</span> <span class=""n"">n</span> <span class=""ow"">is</span> <span class=""n"">even</span>
<span class=""n"">f</span> <span class=""o"">=</span> <span class=""p"">[</span><span class=""mi"">0</span><span class=""p"">,</span> <span class=""mi"">1</span><span class=""p"">,</span> <span class=""o"">...</span><span class=""p"">,</span> <span class=""p"">(</span><span class=""n"">n</span><span class=""o"">-</span><span class=""mi"">1</span><span class=""p"">)</span><span class=""o"">/</span><span class=""mi"">2</span><span class=""o"">-</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""p"">(</span><span class=""n"">n</span><span class=""o"">-</span><span class=""mi"">1</span><span class=""p"">)</span><span class=""o"">/</span><span class=""mi"">2</span><span class=""p"">]</span> <span class=""o"">/</span> <span class=""p"">(</span><span class=""n"">d</span><span class=""o"">*</span><span class=""n"">n</span><span class=""p"">)</span>   <span class=""k"">if</span> <span class=""n"">n</span> <span class=""ow"">is</span> <span class=""n"">odd</span>
</pre>"
numpy.fft.fftshift,Shift the zero-frequency component to the center of the spectrum.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">freqs</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">fft</span><span class=""o"">.</span><span class=""n"">fftfreq</span><span class=""p"">(</span><span class=""mi"">10</span><span class=""p"">,</span> <span class=""mf"">0.1</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">freqs</span>
<span class=""go"">array([ 0.,  1.,  2., ..., -3., -2., -1.])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">fft</span><span class=""o"">.</span><span class=""n"">fftshift</span><span class=""p"">(</span><span class=""n"">freqs</span><span class=""p"">)</span>
<span class=""go"">array([-5., -4., -3., -2., -1.,  0.,  1.,  2.,  3.,  4.])</span>
</pre>"
numpy.fft.ifftshift,"The inverse of fftshift. Although identical for even-length x, the
functions differ by one sample for odd-length x.","<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">freqs</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">fft</span><span class=""o"">.</span><span class=""n"">fftfreq</span><span class=""p"">(</span><span class=""mi"">9</span><span class=""p"">,</span> <span class=""n"">d</span><span class=""o"">=</span><span class=""mf"">1.</span><span class=""o"">/</span><span class=""mi"">9</span><span class=""p"">)</span><span class=""o"">.</span><span class=""n"">reshape</span><span class=""p"">(</span><span class=""mi"">3</span><span class=""p"">,</span> <span class=""mi"">3</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">freqs</span>
<span class=""go"">array([[ 0.,  1.,  2.],</span>
<span class=""go"">       [ 3.,  4., -4.],</span>
<span class=""go"">       [-3., -2., -1.]])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">fft</span><span class=""o"">.</span><span class=""n"">ifftshift</span><span class=""p"">(</span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">fft</span><span class=""o"">.</span><span class=""n"">fftshift</span><span class=""p"">(</span><span class=""n"">freqs</span><span class=""p"">))</span>
<span class=""go"">array([[ 0.,  1.,  2.],</span>
<span class=""go"">       [ 3.,  4., -4.],</span>
<span class=""go"">       [-3., -2., -1.]])</span>
</pre>"
numpy.apply_along_axis,Apply a function to 1-D slices along the given axis.,"<pre><span></span><span class=""n"">Ni</span><span class=""p"">,</span> <span class=""n"">Nk</span> <span class=""o"">=</span> <span class=""n"">a</span><span class=""o"">.</span><span class=""n"">shape</span><span class=""p"">[:</span><span class=""n"">axis</span><span class=""p"">],</span> <span class=""n"">a</span><span class=""o"">.</span><span class=""n"">shape</span><span class=""p"">[</span><span class=""n"">axis</span><span class=""o"">+</span><span class=""mi"">1</span><span class=""p"">:]</span>
<span class=""k"">for</span> <span class=""n"">ii</span> <span class=""ow"">in</span> <span class=""n"">ndindex</span><span class=""p"">(</span><span class=""n"">Ni</span><span class=""p"">):</span>
    <span class=""k"">for</span> <span class=""n"">kk</span> <span class=""ow"">in</span> <span class=""n"">ndindex</span><span class=""p"">(</span><span class=""n"">Nk</span><span class=""p"">):</span>
        <span class=""n"">f</span> <span class=""o"">=</span> <span class=""n"">func1d</span><span class=""p"">(</span><span class=""n"">arr</span><span class=""p"">[</span><span class=""n"">ii</span> <span class=""o"">+</span> <span class=""n"">s_</span><span class=""p"">[:,]</span> <span class=""o"">+</span> <span class=""n"">kk</span><span class=""p"">])</span>
        <span class=""n"">Nj</span> <span class=""o"">=</span> <span class=""n"">f</span><span class=""o"">.</span><span class=""n"">shape</span>
        <span class=""k"">for</span> <span class=""n"">jj</span> <span class=""ow"">in</span> <span class=""n"">ndindex</span><span class=""p"">(</span><span class=""n"">Nj</span><span class=""p"">):</span>
            <span class=""n"">out</span><span class=""p"">[</span><span class=""n"">ii</span> <span class=""o"">+</span> <span class=""n"">jj</span> <span class=""o"">+</span> <span class=""n"">kk</span><span class=""p"">]</span> <span class=""o"">=</span> <span class=""n"">f</span><span class=""p"">[</span><span class=""n"">jj</span><span class=""p"">]</span>
</pre>"
numpy.apply_over_axes,Apply a function repeatedly over multiple axes.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">arange</span><span class=""p"">(</span><span class=""mi"">24</span><span class=""p"">)</span><span class=""o"">.</span><span class=""n"">reshape</span><span class=""p"">(</span><span class=""mi"">2</span><span class=""p"">,</span><span class=""mi"">3</span><span class=""p"">,</span><span class=""mi"">4</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span>
<span class=""go"">array([[[ 0,  1,  2,  3],</span>
<span class=""go"">        [ 4,  5,  6,  7],</span>
<span class=""go"">        [ 8,  9, 10, 11]],</span>
<span class=""go"">       [[12, 13, 14, 15],</span>
<span class=""go"">        [16, 17, 18, 19],</span>
<span class=""go"">        [20, 21, 22, 23]]])</span>
</pre>"
numpy.vectorize,Generalized function class.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""k"">def</span> <span class=""nf"">myfunc</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">,</span> <span class=""n"">b</span><span class=""p"">):</span>
<span class=""gp"">... </span>    <span class=""s2"">""Return a-b if a&gt;b, otherwise return a+b""</span>
<span class=""gp"">... </span>    <span class=""k"">if</span> <span class=""n"">a</span> <span class=""o"">&gt;</span> <span class=""n"">b</span><span class=""p"">:</span>
<span class=""gp"">... </span>        <span class=""k"">return</span> <span class=""n"">a</span> <span class=""o"">-</span> <span class=""n"">b</span>
<span class=""gp"">... </span>    <span class=""k"">else</span><span class=""p"">:</span>
<span class=""gp"">... </span>        <span class=""k"">return</span> <span class=""n"">a</span> <span class=""o"">+</span> <span class=""n"">b</span>
</pre>"
numpy.frompyfunc,Takes an arbitrary Python function and returns a NumPy ufunc.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">oct_array</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">frompyfunc</span><span class=""p"">(</span><span class=""nb"">oct</span><span class=""p"">,</span> <span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">1</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">oct_array</span><span class=""p"">(</span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">((</span><span class=""mi"">10</span><span class=""p"">,</span> <span class=""mi"">30</span><span class=""p"">,</span> <span class=""mi"">100</span><span class=""p"">)))</span>
<span class=""go"">array(['0o12', '0o36', '0o144'], dtype=object)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array</span><span class=""p"">((</span><span class=""nb"">oct</span><span class=""p"">(</span><span class=""mi"">10</span><span class=""p"">),</span> <span class=""nb"">oct</span><span class=""p"">(</span><span class=""mi"">30</span><span class=""p"">),</span> <span class=""nb"">oct</span><span class=""p"">(</span><span class=""mi"">100</span><span class=""p"">)))</span> <span class=""c1""># for comparison</span>
<span class=""go"">array(['0o12', '0o36', '0o144'], dtype='&lt;U5')</span>
</pre>"
numpy.piecewise,Evaluate a piecewise-defined function.,"<pre><span></span>      <span class=""o"">|--</span>
      <span class=""o"">|</span><span class=""n"">funclist</span><span class=""p"">[</span><span class=""mi"">0</span><span class=""p"">](</span><span class=""n"">x</span><span class=""p"">[</span><span class=""n"">condlist</span><span class=""p"">[</span><span class=""mi"">0</span><span class=""p"">]])</span>
<span class=""n"">out</span> <span class=""o"">=</span> <span class=""o"">|</span><span class=""n"">funclist</span><span class=""p"">[</span><span class=""mi"">1</span><span class=""p"">](</span><span class=""n"">x</span><span class=""p"">[</span><span class=""n"">condlist</span><span class=""p"">[</span><span class=""mi"">1</span><span class=""p"">]])</span>
      <span class=""o"">|...</span>
      <span class=""o"">|</span><span class=""n"">funclist</span><span class=""p"">[</span><span class=""n"">n2</span><span class=""p"">](</span><span class=""n"">x</span><span class=""p"">[</span><span class=""n"">condlist</span><span class=""p"">[</span><span class=""n"">n2</span><span class=""p"">]])</span>
      <span class=""o"">|--</span>
</pre>"
numpy.lookfor,Do a keyword search on docstrings.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">lookfor</span><span class=""p"">(</span><span class=""s1"">'binary representation'</span><span class=""p"">)</span> 
<span class=""go"">Search results for 'binary representation'</span>
<span class=""go"">------------------------------------------</span>
<span class=""go"">numpy.binary_repr</span>
<span class=""go"">    Return the binary representation of the input number as a string.</span>
<span class=""go"">numpy.core.setup_common.long_double_representation</span>
<span class=""go"">    Given a binary dump as given by GNU od -b, look for long double</span>
<span class=""go"">numpy.base_repr</span>
<span class=""go"">    Return a string representation of a number in the given base system.</span>
<span class=""gp"">...</span>
</pre>"
numpy.info,"Get help information for a function, class, or module.","<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">info</span><span class=""p"">(</span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">polyval</span><span class=""p"">)</span> 
<span class=""go"">   polyval(p, x)</span>
<span class=""go"">     Evaluate the polynomial p at x.</span>
<span class=""go"">     ...</span>
</pre>"
numpy.source,Print or write to a file the source code for a NumPy object.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">source</span><span class=""p"">(</span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">interp</span><span class=""p"">)</span>                        
<span class=""go"">In file: /usr/lib/python2.6/dist-packages/numpy/lib/function_base.py</span>
<span class=""go"">def interp(x, xp, fp, left=None, right=None):</span>
<span class=""go"">    """""".... (full docstring printed)""""""</span>
<span class=""go"">    if isinstance(x, (float, int, number)):</span>
<span class=""go"">        return compiled_interp([x], xp, fp, left, right).item()</span>
<span class=""go"">    else:</span>
<span class=""go"">        return compiled_interp(x, xp, fp, left, right)</span>
</pre>"
numpy.load,"Load arrays or pickled objects from .npy, .npz or pickled files.","<pre><span></span><span class=""k"">with</span> <span class=""n"">load</span><span class=""p"">(</span><span class=""s1"">'foo.npz'</span><span class=""p"">)</span> <span class=""k"">as</span> <span class=""n"">data</span><span class=""p"">:</span>
    <span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">data</span><span class=""p"">[</span><span class=""s1"">'a'</span><span class=""p"">]</span>
</pre>"
numpy.save,Save an array to a binary file in NumPy .npy format.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">from</span> <span class=""nn"">tempfile</span> <span class=""kn"">import</span> <span class=""n"">TemporaryFile</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">outfile</span> <span class=""o"">=</span> <span class=""n"">TemporaryFile</span><span class=""p"">()</span>
</pre>"
numpy.savez,Save several arrays into a single file in uncompressed .npz format.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">from</span> <span class=""nn"">tempfile</span> <span class=""kn"">import</span> <span class=""n"">TemporaryFile</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">outfile</span> <span class=""o"">=</span> <span class=""n"">TemporaryFile</span><span class=""p"">()</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">arange</span><span class=""p"">(</span><span class=""mi"">10</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">y</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">sin</span><span class=""p"">(</span><span class=""n"">x</span><span class=""p"">)</span>
</pre>"
numpy.savez_compressed,Save several arrays into a single file in compressed .npz format.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">test_array</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">random</span><span class=""o"">.</span><span class=""n"">rand</span><span class=""p"">(</span><span class=""mi"">3</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">test_vector</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">random</span><span class=""o"">.</span><span class=""n"">rand</span><span class=""p"">(</span><span class=""mi"">4</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">savez_compressed</span><span class=""p"">(</span><span class=""s1"">'/tmp/123'</span><span class=""p"">,</span> <span class=""n"">a</span><span class=""o"">=</span><span class=""n"">test_array</span><span class=""p"">,</span> <span class=""n"">b</span><span class=""o"">=</span><span class=""n"">test_vector</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">loaded</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">load</span><span class=""p"">(</span><span class=""s1"">'/tmp/123.npz'</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""nb"">print</span><span class=""p"">(</span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array_equal</span><span class=""p"">(</span><span class=""n"">test_array</span><span class=""p"">,</span> <span class=""n"">loaded</span><span class=""p"">[</span><span class=""s1"">'a'</span><span class=""p"">]))</span>
<span class=""go"">True</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""nb"">print</span><span class=""p"">(</span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">array_equal</span><span class=""p"">(</span><span class=""n"">test_vector</span><span class=""p"">,</span> <span class=""n"">loaded</span><span class=""p"">[</span><span class=""s1"">'b'</span><span class=""p"">]))</span>
<span class=""go"">True</span>
</pre>"
numpy.loadtxt,Load data from a text file.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">from</span> <span class=""nn"">io</span> <span class=""kn"">import</span> <span class=""n"">StringIO</span>   <span class=""c1""># StringIO behaves like a file object</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">c</span> <span class=""o"">=</span> <span class=""n"">StringIO</span><span class=""p"">(</span><span class=""s2"">""0 1</span><span class=""se"">\n</span><span class=""s2"">2 3""</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">loadtxt</span><span class=""p"">(</span><span class=""n"">c</span><span class=""p"">)</span>
<span class=""go"">array([[0., 1.],</span>
<span class=""go"">       [2., 3.]])</span>
</pre>"
numpy.savetxt,Save an array to a text file.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">x</span> <span class=""o"">=</span> <span class=""n"">y</span> <span class=""o"">=</span> <span class=""n"">z</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">arange</span><span class=""p"">(</span><span class=""mf"">0.0</span><span class=""p"">,</span><span class=""mf"">5.0</span><span class=""p"">,</span><span class=""mf"">1.0</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">savetxt</span><span class=""p"">(</span><span class=""s1"">'test.out'</span><span class=""p"">,</span> <span class=""n"">x</span><span class=""p"">,</span> <span class=""n"">delimiter</span><span class=""o"">=</span><span class=""s1"">','</span><span class=""p"">)</span>   <span class=""c1""># X is an array</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">savetxt</span><span class=""p"">(</span><span class=""s1"">'test.out'</span><span class=""p"">,</span> <span class=""p"">(</span><span class=""n"">x</span><span class=""p"">,</span><span class=""n"">y</span><span class=""p"">,</span><span class=""n"">z</span><span class=""p"">))</span>   <span class=""c1""># x,y,z equal sized 1D arrays</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">savetxt</span><span class=""p"">(</span><span class=""s1"">'test.out'</span><span class=""p"">,</span> <span class=""n"">x</span><span class=""p"">,</span> <span class=""n"">fmt</span><span class=""o"">=</span><span class=""s1"">'</span><span class=""si"">%1.4e</span><span class=""s1"">'</span><span class=""p"">)</span>   <span class=""c1""># use exponential notation</span>
</pre>"
numpy.genfromtxt,"Load data from a text file, with missing values handled as specified.","<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">from</span> <span class=""nn"">io</span> <span class=""kn"">import</span> <span class=""n"">StringIO</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">import</span> <span class=""nn"">numpy</span> <span class=""k"">as</span> <span class=""nn"">np</span>
</pre>"
numpy.fromregex,"Construct an array from a text file, using regular expression parsing.","<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""kn"">from</span> <span class=""nn"">io</span> <span class=""kn"">import</span> <span class=""n"">StringIO</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">text</span> <span class=""o"">=</span> <span class=""n"">StringIO</span><span class=""p"">(</span><span class=""s2"">""1312 foo</span><span class=""se"">\n</span><span class=""s2"">1534  bar</span><span class=""se"">\n</span><span class=""s2"">444   qux""</span><span class=""p"">)</span>
</pre>"
numpy.fromstring,A new 1-D array initialized from text data in a string.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">fromstring</span><span class=""p"">(</span><span class=""s1"">'1 2'</span><span class=""p"">,</span> <span class=""n"">dtype</span><span class=""o"">=</span><span class=""nb"">int</span><span class=""p"">,</span> <span class=""n"">sep</span><span class=""o"">=</span><span class=""s1"">' '</span><span class=""p"">)</span>
<span class=""go"">array([1, 2])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">np</span><span class=""o"">.</span><span class=""n"">fromstring</span><span class=""p"">(</span><span class=""s1"">'1, 2'</span><span class=""p"">,</span> <span class=""n"">dtype</span><span class=""o"">=</span><span class=""nb"">int</span><span class=""p"">,</span> <span class=""n"">sep</span><span class=""o"">=</span><span class=""s1"">','</span><span class=""p"">)</span>
<span class=""go"">array([1, 2])</span>
</pre>"
numpy.ndarray.tofile,Write array to a file as text or binary (default).,
numpy.ndarray.tolist,Return the array as an a.ndim-levels deep nested list of Python scalars.,"<pre><span></span><span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a</span> <span class=""o"">=</span> <span class=""n"">np</span><span class=""o"">.</span><span class=""n"">uint32</span><span class=""p"">([</span><span class=""mi"">1</span><span class=""p"">,</span> <span class=""mi"">2</span><span class=""p"">])</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a_list</span> <span class=""o"">=</span> <span class=""nb"">list</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">)</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a_list</span>
<span class=""go"">[1, 2]</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""nb"">type</span><span class=""p"">(</span><span class=""n"">a_list</span><span class=""p"">[</span><span class=""mi"">0</span><span class=""p"">])</span>
<span class=""go"">&lt;class 'numpy.uint32'&gt;</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a_tolist</span> <span class=""o"">=</span> <span class=""n"">a</span><span class=""o"">.</span><span class=""n"">tolist</span><span class=""p"">()</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""n"">a_tolist</span>
<span class=""go"">[1, 2]</span>
<span class=""gp"">&gt;&gt;&gt; </span><span class=""nb"">type</span><span class=""p"">(</span><span class=""n"">a_tolist</span><span class=""p"">[</span><span class=""mi"">0</span><span class=""p"">])</span>
<span class=""go"">&lt;class 'int'&gt;</span>
</pre>"
numpy.array2string,Return a string representation of an array.,"<pre><span></span><span class=""n"">prefix</span> <span class=""o"">+</span> <span class=""n"">array2string</span><span class=""p"">(</span><span class=""n"">a</span><span class=""p"">)</span> <span class=""o"">+</span> <span class=""n"">suffix</span>
</pre>"
